"service_id","date","exception_type"
"M-P koulujen lomapäivinä","20180425","2"
"M-P koulujen lomapäivinä","20180426","2"
"M-P koulujen lomapäivinä","20180427","2"
"M-P koulujen lomapäivinä","20180430","2"
"M-P koulujen lomapäivinä","20180501","2"
"M-P koulujen lomapäivinä","20180502","2"
"M-P koulujen lomapäivinä","20180503","2"
"M-P koulujen lomapäivinä","20180504","2"
"M-P koulujen lomapäivinä","20180507","2"
"M-P koulujen lomapäivinä","20180508","2"
"M-P koulujen lomapäivinä","20180509","2"
"M-P koulujen lomapäivinä","20180510","2"
"M-P koulujen lomapäivinä","20180511","2"
"M-P koulujen lomapäivinä","20180514","2"
"M-P koulujen lomapäivinä","20180515","2"
"M-P koulujen lomapäivinä","20180516","2"
"M-P koulujen lomapäivinä","20180517","2"
"M-P koulujen lomapäivinä","20180518","2"
"M-P koulujen lomapäivinä","20180521","2"
"M-P koulujen lomapäivinä","20180522","2"
"M-P koulujen lomapäivinä","20180523","2"
"M-P koulujen lomapäivinä","20180524","2"
"M-P koulujen lomapäivinä","20180525","2"
"M-P koulujen lomapäivinä","20180528","2"
"M-P koulujen lomapäivinä","20180529","2"
"M-P koulujen lomapäivinä","20180530","2"
"M-P koulujen lomapäivinä","20180531","2"
"M-P koulujen lomapäivinä","20180601","2"
"M-P talvi","20171206","2"
"M-P talvi","20171225","2"
"M-P talvi","20171226","2"
"M-P talvi","20180101","2"
"M-P talvi","20180330","2"
"M-P talvi","20180402","2"
"M-P talvi","20180501","2"
"M-P talvi","20180510","2"
"Pe kesä","20170623","2"
"Pe talvi","20180330","2"
"S - talvi","20171104","1"
"S - talvi","20171206","1"
"S - talvi","20171226","1"
"S - talvi","20180101","1"
"S - talvi","20180106","1"
"S - talvi","20180330","1"
"S - talvi","20180402","1"
"S - talvi","20180501","1"
"S - talvi","20180510","1"
"Vip kalenteri","20171225","2"
"Vip kalenteri","20171226","2"
"Vip kalenteri","20180101","2"
"Vip kalenteri","20180330","2"
"Vip kalenteri","20180402","2"
"Vip kalenteri","20180501","2"
"Vip kalenteri","20180510","2"
"Vip kalenteri","20180622","2"
